"flagCode","country","AverageTimeInBedMinutes_2025","AverageBedtime_2025","AverageBedtimeWakeupTime_2025"
"NZ","New Zealand",447,"23:29","07:11"
"NL","Netherlands",444,"00:07","07:47"
"FI","Finland",443,"00:03","07:44"
"GB","United Kingdom",442,"00:28","07:33"
"AU","Australia",440,"23:33","07:13"
"BE","Belgium",438,"00:06","07:40"
"IE","Ireland",437,"00:16","07:50"
"SE","Sweden",435,"23:50","07:21"
"FR","France",434,"00:19","07:51"
"DK","Denmark",434,"23:47","07:19"
"CA","Canada",431,"23:57","07:33"
"NO","Norway",429,"00:16","07:43"
"CH","Switzerland",428,"00:19","07:13"
"DE","Germany",427,"23:59","07:25"
"AT","Austria",427,"23:55","07:20"
"US","United States",426,"23:54","07:20"
"ZA","South Africa",424,"00:20","06:24"
"HU","Hungary",422,"23:59","07:22"
"CZ","Czech Republic",420,"23:58","07:15"
"PT","Portugal",419,"00:41","08:22"
"RO","Romania",418,"23:09","08:01"
"SK","Slovakia",417,"01:03","07:18"
"ES","Spain",416,"00:32","08:05"
"IT","Italy",414,"00:35","07:52"
"GR","Greece",414,"01:05","08:25"
"UA","Ukraine",412,"00:03","07:51"
"PL","Poland",410,"00:55","07:25"
"RU","Russia",405,"01:05","08:06"
"AE","United Arab Emirates",405,"01:05","07:43"
"CN","China",403,"00:32","07:42"
"TH","Thailand",402,"00:22","07:24"
"BR","Brazil",400,"00:32","07:31"
"CL","Chile",399,"00:47","07:40"
"HK","Hong Kong",399,"00:55","07:57"
"CR","Costa Rica",399,"23:43","06:38"
"MX","Mexico",397,"00:20","07:09"
"CO","Colombia",397,"23:41","06:31"
"IL","Israel",396,"00:44","07:54"
"IN","India",395,"00:26","07:36"
"TR","Turkey",395,"00:59","08:02"
"SG","Singapore",394,"23:52","07:38"
"MY","Malaysia",387,"00:35","07:41"
"QA","Qatar",386,"00:06","07:32"
"ID","Indonesia",385,"00:10","06:55"
"TW","Taiwan",381,"00:37","07:56"
"KW","Kuwait",375,"00:14","08:01"
"PH","Philippines",368,"00:39","07:28"
"KR","South Korea",362,"00:16","07:38"
"SA","Saudi Arabia",362,"00:39","08:27"
"JP","Japan",352,"00:49","07:09"
